benchmark,m1_speedup,m2_speedup,m1_m2_speedup
floydwarshall,0.9944778526644095,1.067631409962389,1.068832510618758
fastwalshtransform,1.0176115681597953,1.0016589368046198,1.021517124509454
bitonicsort,1.012254165815683,1.0,1.012254165815683
im2col,1.0056506449857006,1.004834546286464,1.004331656470304
fft,1.0038422893105765,1.0,1.0038422893105765
relu,1.000493791475473,1.0,1.000493791475473
pagerank,0.962555713598294,1.0110165621151457,0.9198385384580043
